Uniprot-ID	Biogrid-ID	Gene-Name	Ref-Seq	Protein-Name	Gene-ID	Old-Uniprot-IDs	Isoformes
P33315	32819;	TKL2	NP_009675	TKT2	YBR117C	D6VQB5;	0
Q12466	34484;	TCB1	NP_014729	TCB1	YOR086C	D6W2E8;	0
Q03640	35069;	TCB3	NP_013639	TCB3	YML072C	D6VZA1;	0
P39076	34850;	CCT2	NP_012124	TCPB	YIL142W	D6VVE5;	0
P39077	33741;	CCT3	NP_012520	TCPG	YJL014W	D6VWG3;	0
P38987	35102;	TEM1	NP_013647	TEM1	YML064C	D6VZA9;	0
Q07921	31283;	TEN1	NP_013110	TEN1	YLR010C	D6VY12;	0
P29055	36257;	SUA7	NP_015411	TF2B	YPR086W	D6W488;E9P939;	0
P07273	33205;	DST1	NP_011472	TFS2	YGL043W	D6VU96;P24535;	0
P34163	33996;	TGL1	NP_012782	TGL1	YKL140W	D6VX56;	0
P47183	33911;	THI11	NP_012690	THI11	YJR156C	D6VWX5;	0
P38141	32935;	THI2	NP_009799	THI2	YBR240C	D6VQN6;	0
P40040	36805;	THO1	NP_010985	THO1	YER063W	D3DLW8;	0
Q12049	36221;	THP3	NP_015370	THP3	YPR045C	D6W453;Q07109;	0
Q07914	31281;	PAM18	NP_013108	TIM14	YLR008C	D6VY10;	0
P33890	34415;	TIR2	NP_014653	TIR2	YOR010C	D6W277;	0
Q12218	34414;	TIR4	NP_014652	TIR4	YOR009W	D6W276;	0
P53072	33007;	TAN1	NP_011282	TAN1	YGL232W	D6VVA2;	0
Q8TGM6	300958;	TAR1	NP_690845	TAR1	YLR154W-C	D6VYF0;	0
P13393	36897;	SPT15	NP_011075	TBP	YER148W	D3DM55;	0
P38756	36428;	TCD1	NP_011866	TCD1	YHR003C	D3DKU6;	0
P36165	34220;	TGL4	NP_013015	TGL4	YKR089C	D6VXE9;	0
Q06490	36290;	THI22	NP_015446	THI22	YPR121W	D6W4C0;	0
Q03782	32291;	SNU56	NP_010526	SNU56	YDR240C	D6VSM1;	0
Q04053	32484;	SNX41	NP_010713	SNX41	YDR425W	D6VT55;	0
P47057	33724;	SNX4	NP_012498	SNX4	YJL036W	D6VWE7;Q06794;	0
Q03148	35271;	SNZ1	NP_013814	SNZ1	YMR096W	D6VZR9;	0
P00445	33860;	SOD1	NP_012638	SODC	YJR104C	D6VWS3;Q68HB2;	0
Q04748	35241;	SOV1	NP_013782	SOV1	YMR066W	D6VZP0;	0
Q06160	31578;	SPH1	NP_013417	SPH1	YLR313C	D6VYV7;O13526;Q2VQW2;	0
P25380	30937;	SPS22	NP_009882	SPS22	YCL048W	D6VQW9;	0
P06843	36914;	SPT2	NP_011088	SPT2	YER161C	D3DM69;	0
